dataset_id,n_trees,max_features,percent_data,time,score
16,11,0.2,0.9,111.12,0.962
16,11,0.2,1.0,135.38,0.962
16,13,0.2,0.1,3.9,0.921
16,13,0.2,0.2,11.2,0.938
16,13,0.2,0.3,22.11,0.947
16,13,0.2,0.4,34.08,0.953
16,13,0.2,0.5,50.7,0.954
16,13,0.2,0.6,69.46,0.956
16,13,0.2,0.7,87.6,0.957
16,13,0.2,0.8,110.17,0.96
16,13,0.2,0.9,132.26,0.962
16,13,0.2,1.0,152.35,0.966
16,15,0.2,0.1,4.2,0.927
16,15,0.2,0.2,12.73,0.939
16,15,0.2,0.3,24.7,0.95
16,15,0.2,0.4,40.75,0.951
16,15,0.2,0.5,60.76,0.952
16,15,0.2,0.6,82.17,0.957
16,15,0.2,0.7,98.39,0.958
16,15,0.2,0.8,3384.9,0.959
16,15,0.2,0.9,153.53,0.964
16,15,0.2,1.0,180.87,0.963
16,1,0.3,0.1,0.58,0.87
16,1,0.3,0.2,1.58,0.881
16,1,0.3,0.3,3.08,0.883
16,1,0.3,0.4,4.18,0.892
16,1,0.3,0.5,6.57,0.892
16,1,0.3,0.6,8.71,0.909
16,1,0.3,0.7,10.05,0.904
16,1,0.3,0.8,14.57,0.911
16,1,0.3,0.9,16.79,0.913
16,1,0.3,1.0,22.05,0.907
16,3,0.3,0.1,1.42,0.896
16,3,0.3,0.2,3.87,0.917
16,3,0.3,0.3,7.7,0.925
16,3,0.3,0.4,12.38,0.924
16,3,0.3,0.5,18.81,0.931
16,3,0.3,0.6,23.81,0.934
16,3,0.3,0.7,31.55,0.938
16,3,0.3,0.8,35.78,0.939
16,3,0.3,0.9,45.51,0.943
16,3,0.3,1.0,54.37,0.942
16,5,0.3,0.1,2.22,0.911
16,5,0.3,0.2,6.33,0.924
16,5,0.3,0.3,12.51,0.935
16,5,0.3,0.4,20.43,0.938
16,5,0.3,0.5,30.88,0.94
16,5,0.3,0.6,39.44,0.944
16,5,0.3,0.7,50.1,0.941
