dataset_id,n_trees,max_features,percent_data,time,score
18,11,0.2,0.9,0.4,0.496
18,11,0.2,1.0,0.45,0.497
18,13,0.2,0.1,0.1,0.452
18,13,0.2,0.2,0.14,0.475
18,13,0.2,0.3,0.19,0.452
18,13,0.2,0.4,0.24,0.468
18,13,0.2,0.5,0.28,0.497
18,13,0.2,0.6,0.33,0.496
18,13,0.2,0.7,0.38,0.498
18,13,0.2,0.8,0.42,0.5
18,13,0.2,0.9,0.47,0.508
18,13,0.2,1.0,0.5,0.507
18,15,0.2,0.1,0.11,0.455
18,15,0.2,0.2,0.16,0.47
18,15,0.2,0.3,0.23,0.465
18,15,0.2,0.4,0.27,0.473
18,15,0.2,0.5,0.31,0.498
18,15,0.2,0.6,0.38,0.487
18,15,0.2,0.7,0.45,0.503
18,15,0.2,0.8,0.5,0.514
18,15,0.2,0.9,0.55,0.506
18,15,0.2,1.0,0.6,0.511
18,1,0.3,0.1,0.01,0.386
18,1,0.3,0.2,0.02,0.383
18,1,0.3,0.3,0.03,0.383
18,1,0.3,0.4,0.03,0.377
18,1,0.3,0.5,0.04,0.386
18,1,0.3,0.6,0.04,0.387
18,1,0.3,0.7,0.05,0.407
18,1,0.3,0.8,0.05,0.421
18,1,0.3,0.9,0.06,0.401
18,1,0.3,1.0,0.07,0.405
18,3,0.3,0.1,0.03,0.39
18,3,0.3,0.2,0.05,0.388
18,3,0.3,0.3,0.06,0.383
18,3,0.3,0.4,0.08,0.402
18,3,0.3,0.5,0.09,0.414
18,3,0.3,0.6,0.1,0.421
18,3,0.3,0.7,0.13,0.426
18,3,0.3,0.8,0.13,0.422
18,3,0.3,0.9,0.15,0.421
18,3,0.3,1.0,0.17,0.435
18,5,0.3,0.1,0.04,0.417
18,5,0.3,0.2,0.07,0.451
18,5,0.3,0.3,0.09,0.429
18,5,0.3,0.4,0.12,0.444
18,5,0.3,0.5,0.14,0.456
18,5,0.3,0.6,0.17,0.458
18,5,0.3,0.7,0.2,0.459
18,5,0.3,0.8,0.22,0.478
18,5,0.3,0.9,0.24,0.472
18,5,0.3,1.0,0.26,0.455
18,7,0.3,0.1,0.06,0.457
18,7,0.3,0.2,0.09,0.442
18,7,0.3,0.3,0.12,0.451
18,7,0.3,0.4,0.17,0.463
18,7,0.3,0.5,0.19,0.456
18,7,0.3,0.6,0.23,0.488
18,7,0.3,0.7,0.26,0.466
18,7,0.3,0.8,0.3,0.475
18,7,0.3,0.9,0.34,0.484
18,7,0.3,1.0,0.36,0.5
18,9,0.3,0.1,0.08,0.445
18,9,0.3,0.2,0.11,0.456
18,9,0.3,0.3,0.16,0.456
18,9,0.3,0.4,0.21,0.475
18,9,0.3,0.5,0.25,0.48
18,9,0.3,0.6,0.29,0.468
18,9,0.3,0.7,0.33,0.498
18,9,0.3,0.8,0.39,0.497
18,9,0.3,0.9,0.43,0.496
18,9,0.3,1.0,0.49,0.488
18,11,0.3,0.1,0.09,0.457
18,11,0.3,0.2,0.14,0.446
18,11,0.3,0.3,0.2,0.47
18,11,0.3,0.4,0.24,0.481
18,11,0.3,0.5,0.3,0.491
18,11,0.3,0.6,0.34,0.497
18,11,0.3,0.7,0.4,0.491
18,11,0.3,0.8,0.45,0.497
18,11,0.3,0.9,0.51,0.481
18,11,0.3,1.0,0.58,0.497
18,13,0.3,0.1,0.11,0.436
18,13,0.3,0.2,0.17,0.456
18,13,0.3,0.3,0.23,0.468
18,13,0.3,0.4,0.28,0.473
18,13,0.3,0.5,0.35,0.485
18,13,0.3,0.6,0.41,0.49
18,13,0.3,0.7,0.47,0.499
18,13,0.3,0.8,0.54,0.504
18,13,0.3,0.9,0.59,0.507
18,13,0.3,1.0,0.66,0.51
18,15,0.3,0.1,0.14,0.456
18,15,0.3,0.2,0.2,0.467
18,15,0.3,0.3,0.28,0.472
18,15,0.3,0.4,0.33,0.472
18,15,0.3,0.5,0.41,0.498
18,15,0.3,0.6,0.47,0.506
18,15,0.3,0.7,0.55,0.502
18,15,0.3,0.8,0.62,0.507
18,15,0.3,0.9,0.71,0.505
18,15,0.3,1.0,0.75,0.514
18,1,0.4,0.1,0.02,0.385
18,1,0.4,0.2,0.02,0.381
18,1,0.4,0.3,0.03,0.376
18,1,0.4,0.4,0.04,0.381
18,1,0.4,0.5,0.04,0.383
18,1,0.4,0.6,0.05,0.395
18,1,0.4,0.7,0.06,0.407
18,1,0.4,0.8,0.06,0.406
18,1,0.4,0.9,0.07,0.417
18,1,0.4,1.0,0.08,0.429
18,3,0.4,0.1,0.03,0.409
18,3,0.4,0.2,0.05,0.402
18,3,0.4,0.3,0.07,0.393
18,3,0.4,0.4,0.09,0.39
