dataset_id,n_trees,max_features,percent_data,time,score
20,11,0.2,0.9,0.4,0.85
20,11,0.2,1.0,0.45,0.852
20,13,0.2,0.1,0.1,0.558
20,13,0.2,0.2,0.14,0.698
20,13,0.2,0.3,0.19,0.79
20,13,0.2,0.4,0.23,0.81
20,13,0.2,0.5,0.28,0.813
20,13,0.2,0.6,0.32,0.828
20,13,0.2,0.7,0.38,0.844
20,13,0.2,0.8,0.4,0.865
20,13,0.2,0.9,0.46,0.865
20,13,0.2,1.0,0.52,0.864
20,15,0.2,0.1,0.1,0.568
20,15,0.2,0.2,0.16,0.731
20,15,0.2,0.3,0.21,0.792
20,15,0.2,0.4,0.27,0.829
20,15,0.2,0.5,0.32,0.827
20,15,0.2,0.6,0.36,0.842
20,15,0.2,0.7,0.41,0.857
20,15,0.2,0.8,0.51,0.867
20,15,0.2,0.9,0.53,0.856
20,15,0.2,1.0,0.59,0.871
20,1,0.3,0.1,0.01,0.401
20,1,0.3,0.2,0.02,0.469
20,1,0.3,0.3,0.03,0.526
20,1,0.3,0.4,0.03,0.576
20,1,0.3,0.5,0.04,0.608
20,1,0.3,0.6,0.04,0.601
20,1,0.3,0.7,0.05,0.642
20,1,0.3,0.8,0.06,0.638
20,1,0.3,0.9,0.07,0.639
20,1,0.3,1.0,0.07,0.658
20,3,0.3,0.1,0.03,0.448
20,3,0.3,0.2,0.04,0.544
20,3,0.3,0.3,0.06,0.644
20,3,0.3,0.4,0.08,0.653
20,3,0.3,0.5,0.1,0.653
20,3,0.3,0.6,0.11,0.68
20,3,0.3,0.7,0.15,0.693
20,3,0.3,0.8,0.14,0.694
20,3,0.3,0.9,0.16,0.718
20,3,0.3,1.0,0.18,0.715
20,5,0.3,0.1,0.05,0.478
20,5,0.3,0.2,0.08,0.605
20,5,0.3,0.3,0.1,0.691
20,5,0.3,0.4,0.13,0.708
20,5,0.3,0.5,0.15,0.719
20,5,0.3,0.6,0.17,0.758
20,5,0.3,0.7,0.2,0.76
20,5,0.3,0.8,0.23,0.762
20,5,0.3,0.9,0.26,0.789
20,5,0.3,1.0,0.29,0.792
20,7,0.3,0.1,0.06,0.512
20,7,0.3,0.2,0.1,0.67
20,7,0.3,0.3,0.13,0.738
20,7,0.3,0.4,0.16,0.745
20,7,0.3,0.5,0.2,0.754
20,7,0.3,0.6,0.24,0.782
20,7,0.3,0.7,0.27,0.785
20,7,0.3,0.8,0.31,0.796
20,7,0.3,0.9,0.34,0.803
20,7,0.3,1.0,0.37,0.817
20,9,0.3,0.1,0.08,0.527
20,9,0.3,0.2,0.12,0.702
20,9,0.3,0.3,0.16,0.733
20,9,0.3,0.4,0.21,0.781
20,9,0.3,0.5,0.26,0.787
20,9,0.3,0.6,0.31,0.807
20,9,0.3,0.7,0.35,0.814
20,9,0.3,0.8,0.4,0.815
20,9,0.3,0.9,0.44,0.849
20,9,0.3,1.0,0.5,0.84
20,11,0.3,0.1,0.09,0.53
20,11,0.3,0.2,0.14,0.692
20,11,0.3,0.3,0.2,0.777
20,11,0.3,0.4,0.26,0.788
20,11,0.3,0.5,0.31,0.832
20,11,0.3,0.6,0.36,0.825
20,11,0.3,0.7,0.41,0.826
20,11,0.3,0.8,0.48,0.845
20,11,0.3,0.9,0.55,0.832
20,11,0.3,1.0,0.6,0.865
20,13,0.3,0.1,0.11,0.558
20,13,0.3,0.2,0.17,0.703
20,13,0.3,0.3,0.23,0.797
20,13,0.3,0.4,0.3,0.808
20,13,0.3,0.5,0.36,0.815
20,13,0.3,0.6,0.41,0.83
20,13,0.3,0.7,0.49,0.843
20,13,0.3,0.8,0.56,0.855
20,13,0.3,0.9,0.63,0.853
20,13,0.3,1.0,0.7,0.86
20,15,0.3,0.1,0.12,0.566
20,15,0.3,0.2,0.19,0.718
20,15,0.3,0.3,0.27,0.803
20,15,0.3,0.4,0.34,0.805
20,15,0.3,0.5,0.41,0.831
20,15,0.3,0.6,0.49,0.841
20,15,0.3,0.7,0.56,0.84
20,15,0.3,0.8,0.64,0.861
20,15,0.3,0.9,0.71,0.856
20,15,0.3,1.0,0.8,0.875
20,1,0.4,0.1,0.02,0.424
20,1,0.4,0.2,0.02,0.496
20,1,0.4,0.3,0.03,0.545
20,1,0.4,0.4,0.04,0.565
20,1,0.4,0.5,0.04,0.577
20,1,0.4,0.6,0.05,0.632
20,1,0.4,0.7,0.06,0.621
20,1,0.4,0.8,0.07,0.633
20,1,0.4,0.9,0.08,0.655
20,1,0.4,1.0,0.09,0.648
20,3,0.4,0.1,0.03,0.423
20,3,0.4,0.2,0.05,0.554
20,3,0.4,0.3,0.07,0.614
20,3,0.4,0.4,0.09,0.659
20,3,0.4,0.5,0.11,0.674
20,3,0.4,0.6,0.13,0.669
20,3,0.4,0.7,0.16,0.694
20,3,0.4,0.8,0.18,0.699
20,3,0.4,0.9,0.21,0.713
20,3,0.4,1.0,0.25,0.72
20,5,0.4,0.1,0.05,0.492
20,5,0.4,0.2,0.08,0.591
20,5,0.4,0.3,0.12,0.707
20,5,0.4,0.4,0.15,0.73
20,5,0.4,0.5,0.18,0.719
20,5,0.4,0.6,0.22,0.745
20,5,0.4,0.7,0.25,0.764
20,5,0.4,0.8,0.28,0.799
20,5,0.4,0.9,0.31,0.778
20,5,0.4,1.0,0.36,0.791
20,7,0.4,0.1,0.07,0.523
20,7,0.4,0.2,0.12,0.65
20,7,0.4,0.3,0.16,0.745
20,7,0.4,0.4,0.21,0.758
20,7,0.4,0.5,0.25,0.767
20,7,0.4,0.6,0.29,0.769
20,7,0.4,0.7,0.34,0.792
20,7,0.4,0.8,0.41,0.805
20,7,0.4,0.9,0.44,0.809
20,7,0.4,1.0,0.52,0.817
20,9,0.4,0.1,0.08,0.537
20,9,0.4,0.2,0.15,0.66
20,9,0.4,0.3,0.2,0.768
20,9,0.4,0.4,0.26,0.782
20,9,0.4,0.5,0.31,0.78
20,9,0.4,0.6,0.38,0.816
20,9,0.4,0.7,0.43,0.806
