dataset_id,n_trees,max_features,percent_data,time,score
9,11,0.2,0.9,5.83,0.699
9,11,0.2,1.0,6.71,0.719
9,13,0.2,0.1,0.51,0.484
9,13,0.2,0.2,1.18,0.53
9,13,0.2,0.3,1.88,0.526
9,13,0.2,0.4,2.63,0.578
9,13,0.2,0.5,3.39,0.621
9,13,0.2,0.6,4.31,0.639
9,13,0.2,0.7,5.08,0.68
9,13,0.2,0.8,5.91,0.702
9,13,0.2,0.9,6.98,0.71
9,13,0.2,1.0,7.86,0.716
9,15,0.2,0.1,0.58,0.502
9,15,0.2,0.2,1.29,0.527
9,15,0.2,0.3,2.28,0.543
9,15,0.2,0.4,3.11,0.58
9,15,0.2,0.5,4.06,0.629
9,15,0.2,0.6,5.08,0.651
9,15,0.2,0.7,5.94,0.697
9,15,0.2,0.8,6.88,0.694
9,15,0.2,0.9,7.87,0.718
9,15,0.2,1.0,9.08,0.734
9,1,0.3,0.1,0.06,0.511
9,1,0.3,0.2,0.14,0.498
9,1,0.3,0.3,0.23,0.502
9,1,0.3,0.4,0.32,0.54
9,1,0.3,0.5,0.42,0.538
9,1,0.3,0.6,0.52,0.542
9,1,0.3,0.7,0.59,0.588
9,1,0.3,0.8,0.68,0.63
9,1,0.3,0.9,0.84,0.647
9,1,0.3,1.0,0.92,0.66
9,3,0.3,0.1,0.19,0.482
9,3,0.3,0.2,0.44,0.534
9,3,0.3,0.3,0.67,0.514
9,3,0.3,0.4,0.89,0.555
9,3,0.3,0.5,1.17,0.615
9,3,0.3,0.6,1.46,0.6
9,3,0.3,0.7,1.71,0.634
9,3,0.3,0.8,2.04,0.63
9,3,0.3,0.9,2.39,0.649
9,3,0.3,1.0,2.66,0.675
9,5,0.3,0.1,0.27,0.502
9,5,0.3,0.2,0.64,0.52
9,5,0.3,0.3,1.08,0.511
9,5,0.3,0.4,1.58,0.555
9,5,0.3,0.5,2.0,0.618
9,5,0.3,0.6,2.43,0.636
9,5,0.3,0.7,2.78,0.666
9,5,0.3,0.8,3.48,0.675
9,5,0.3,0.9,3.84,0.69
9,5,0.3,1.0,4.34,0.715
9,7,0.3,0.1,0.38,0.499
9,7,0.3,0.2,0.89,0.509
9,7,0.3,0.3,1.61,0.537
9,7,0.3,0.4,2.14,0.557
9,7,0.3,0.5,2.68,0.614
9,7,0.3,0.6,3.34,0.635
9,7,0.3,0.7,4.03,0.674
9,7,0.3,0.8,4.7,0.681
9,7,0.3,0.9,5.28,0.716
9,7,0.3,1.0,6.18,0.719
9,9,0.3,0.1,0.5,0.499
9,9,0.3,0.2,1.2,0.51
9,9,0.3,0.3,1.91,0.516
9,9,0.3,0.4,2.7,0.581
9,9,0.3,0.5,3.56,0.624
9,9,0.3,0.6,4.37,0.649
9,9,0.3,0.7,5.1,0.708
9,9,0.3,0.8,5.95,0.705
9,9,0.3,0.9,7.0,0.729
9,9,0.3,1.0,7.89,0.734
9,11,0.3,0.1,0.58,0.489
9,11,0.3,0.2,1.41,0.515
9,11,0.3,0.3,2.39,0.551
9,11,0.3,0.4,3.48,0.565
9,11,0.3,0.5,4.52,0.606
9,11,0.3,0.6,5.51,0.651
9,11,0.3,0.7,6.45,0.697
9,11,0.3,0.8,7.39,0.71
9,11,0.3,0.9,8.44,0.746
9,11,0.3,1.0,9.56,0.735
9,13,0.3,0.1,0.69,0.502
9,13,0.3,0.2,1.66,0.498
9,13,0.3,0.3,2.82,0.541
9,13,0.3,0.4,3.84,0.59
9,13,0.3,0.5,5.16,0.627
9,13,0.3,0.6,6.34,0.645
9,13,0.3,0.7,7.43,0.698
9,13,0.3,0.8,8.74,0.713
9,13,0.3,0.9,9.9,0.743
9,13,0.3,1.0,11.41,0.755
9,15,0.3,0.1,0.78,0.491
9,15,0.3,0.2,1.91,0.532
9,15,0.3,0.3,3.24,0.542
9,15,0.3,0.4,4.56,0.586
9,15,0.3,0.5,5.87,0.653
9,15,0.3,0.6,7.22,0.68
9,15,0.3,0.7,8.47,0.709
9,15,0.3,0.8,9.74,0.742
9,15,0.3,0.9,11.45,0.743
9,15,0.3,1.0,13.1,0.773
9,1,0.4,0.1,0.1,0.503
9,1,0.4,0.2,0.19,0.518
9,1,0.4,0.3,0.32,0.51
9,1,0.4,0.4,0.43,0.516
9,1,0.4,0.5,0.52,0.547
9,1,0.4,0.6,0.65,0.591
9,1,0.4,0.7,0.77,0.587
9,1,0.4,0.8,0.91,0.624
9,1,0.4,0.9,1.06,0.658
9,1,0.4,1.0,1.1,0.647
9,3,0.4,0.1,0.2,0.498
9,3,0.4,0.2,0.53,0.486
9,3,0.4,0.3,0.84,0.501
9,3,0.4,0.4,1.19,0.536
9,3,0.4,0.5,1.62,0.587
9,3,0.4,0.6,2.07,0.584
9,3,0.4,0.7,2.26,0.648
9,3,0.4,0.8,2.64,0.703
9,3,0.4,0.9,3.0,0.673
9,3,0.4,1.0,3.4,0.684
9,5,0.4,0.1,0.34,0.485
9,5,0.4,0.2,0.84,0.515
9,5,0.4,0.3,1.41,0.536
9,5,0.4,0.4,1.99,0.558
9,5,0.4,0.5,2.65,0.585
9,5,0.4,0.6,3.23,0.64
9,5,0.4,0.7,3.7,0.691
9,5,0.4,0.8,4.42,0.671
9,5,0.4,0.9,5.05,0.693
9,5,0.4,1.0,5.65,0.716
9,7,0.4,0.1,0.49,0.498
9,7,0.4,0.2,1.18,0.507
9,7,0.4,0.3,2.0,0.518
9,7,0.4,0.4,2.82,0.558
9,7,0.4,0.5,3.65,0.593
9,7,0.4,0.6,4.31,0.657
9,7,0.4,0.7,5.28,0.682
9,7,0.4,0.8,6.17,0.705
9,7,0.4,0.9,6.97,0.719
9,7,0.4,1.0,8.14,0.732
9,9,0.4,0.1,0.64,0.493
9,9,0.4,0.2,1.5,0.508
9,9,0.4,0.3,2.65,0.548
9,9,0.4,0.4,3.55,0.586
9,9,0.4,0.5,4.61,0.612
9,9,0.4,0.6,5.63,0.637
9,9,0.4,0.7,6.74,0.685
9,9,0.4,0.8,7.75,0.741
9,9,0.4,0.9,9.11,0.724
9,9,0.4,1.0,10.25,0.755
9,11,0.4,0.1,0.76,0.493
9,11,0.4,0.2,1.81,0.509
9,11,0.4,0.3,3.05,0.538
9,11,0.4,0.4,4.28,0.579
9,11,0.4,0.5,5.95,0.638
9,11,0.4,0.6,6.94,0.67
9,11,0.4,0.7,8.28,0.705
9,11,0.4,0.8,9.59,0.74
9,11,0.4,0.9,11.2,0.739
9,11,0.4,1.0,12.25,0.76
9,13,0.4,0.1,0.88,0.504
9,13,0.4,0.2,2.2,0.509
9,13,0.4,0.3,3.84,0.524
9,13,0.4,0.4,5.1,0.58
9,13,0.4,0.5,6.79,0.625
9,13,0.4,0.6,8.31,0.671
9,13,0.4,0.7,9.74,0.705
9,13,0.4,0.8,11.29,0.752
9,13,0.4,0.9,12.72,0.746
9,13,0.4,1.0,15.13,0.766
9,15,0.4,0.1,1.06,0.49
9,15,0.4,0.2,2.5,0.516
9,15,0.4,0.3,4.38,0.537
